received_unix_ns,received_monotonic_ns,tick,mode_pr,mode_machine,left_shoulder_pitch_joint_q,left_shoulder_pitch_joint_dq,left_shoulder_pitch_joint_tau_est,left_shoulder_roll_joint_q,left_shoulder_roll_joint_dq,left_shoulder_roll_joint_tau_est,left_shoulder_yaw_joint_q,left_shoulder_yaw_joint_dq,left_shoulder_yaw_joint_tau_est,left_elbow_joint_q,left_elbow_joint_dq,left_elbow_joint_tau_est,left_wrist_roll_joint_q,left_wrist_roll_joint_dq,left_wrist_roll_joint_tau_est,left_wrist_pitch_joint_q,left_wrist_pitch_joint_dq,left_wrist_pitch_joint_tau_est,left_wrist_yaw_joint_q,left_wrist_yaw_joint_dq,left_wrist_yaw_joint_tau_est,right_shoulder_pitch_joint_q,right_shoulder_pitch_joint_dq,right_shoulder_pitch_joint_tau_est,right_shoulder_roll_joint_q,right_shoulder_roll_joint_dq,right_shoulder_roll_joint_tau_est,right_shoulder_yaw_joint_q,right_shoulder_yaw_joint_dq,right_shoulder_yaw_joint_tau_est,right_elbow_joint_q,right_elbow_joint_dq,right_elbow_joint_tau_est,right_wrist_roll_joint_q,right_wrist_roll_joint_dq,right_wrist_roll_joint_tau_est,right_wrist_pitch_joint_q,right_wrist_pitch_joint_dq,right_wrist_pitch_joint_tau_est,right_wrist_yaw_joint_q,right_wrist_yaw_joint_dq,right_wrist_yaw_joint_tau_est
1789652953345610705,2857466628996,3239019,0,5,0.15945011377334595,-0.00920388475060463,-4.5,0.08747286349534988,0.0,-0.1875,-0.023153522983193398,0.003067961661145091,0.3125,-0.23490279912948608,-0.003067961661145091,-4.9375,-0.0896420031785965,0.0,-0.125,0.07565641403198242,0.0,-1.5125000476837158,-0.15662184357643127,0.0,0.012500000186264515,0.11699000746011734,0.0,-4.625,-0.10286060720682144,-0.003067961661145091,-0.5,0.04478504881262779,0.0076699042692780495,-0.625,-0.20593692362308502,0.004601942375302315,-6.0,0.09159543365240097,0.0015339808305725455,0.0625,0.08545950800180435,0.0,-2.2125000953674316,0.156418114900589,0.0,-0.15625
1789652953346462751,2857467481047,3239020,0,5,0.15945011377334595,-0.004601942375302315,-4.5,0.08746087551116943,-0.006135923322290182,-0.1875,-0.0231774915009737,-0.016873789951205254,0.3125,-0.23490279912948608,-0.0076699042692780495,-4.9375,-0.0896420031785965,-0.004601942375302315,-0.0625,0.07565641403198242,0.0,-1.5125000476837158,-0.15662184357643127,0.0,0.02500000037252903,0.11699000746011734,-0.0076699042692780495,-4.6875,-0.10286060720682144,0.003067961661145091,-0.4375,0.04478504881262779,0.010737866163253784,-0.5625,-0.20592494308948517,0.016873789951205254,-6.0,0.09159543365240097,-0.004601942375302315,0.0625,0.0854475274682045,0.0,-2.200000047683716,0.15640611946582794,-0.006135923322290182,-0.16875000298023224
1789652953347370826,2857468389105,3239021,0,5,0.15945011377334595,-0.004601942375302315,-4.5,0.08748484402894974,0.0015339808305725455,-0.1875,-0.023153522983193398,-0.004601942375302315,0.3125,-0.23490279912948608,-0.0076699042692780495,-4.9375,-0.08963002264499664,0.004601942375302315,-0.0625,0.07563244551420212,-0.01840776950120926,-1.524999976158142,-0.15662184357643127,0.0,0.02500000037252903,0.11699000746011734,-0.0076699042692780495,-4.6875,-0.10286060720682144,0.00920388475060463,-0.5,0.04478504881262779,0.00920388475060463,-0.5625,-0.20592494308948517,0.016873789951205254,-6.0,0.09163138270378113,0.006135923322290182,0.0625,0.08545950800180435,0.01840776950120926,-2.2125000953674316,0.156418114900589,0.0,-0.15625
1789652953348430576,2857469448705,3239022,0,5,0.1594381332397461,-0.012271846644580364,-4.5,0.08746087551116943,-0.006135923322290182,-0.1875,-0.02316550724208355,-0.0076699042692780495,0.3125,-0.23491477966308594,-0.004601942375302315,-4.9375,-0.08963002264499664,0.004601942375302315,-0.125,0.07565641403198242,0.0,-1.5125000476837158,-0.15662184357643127,-0.006135923322290182,0.02500000037252903,0.1170019879937172,0.0076699042692780495,-4.6875,-0.10284861922264099,0.01840776950120926,-0.5,0.04478504881262779,0.012271846644580364,-0.5625,-0.20593692362308502,0.004601942375302315,-6.0,0.09159543365240097,-0.003067961661145091,0.0625,0.0854475274682045,0.0,-2.2125000953674316,0.156418114900589,0.0,-0.16875000298023224
1789652953349224280,2857470242616,3239023,0,5,0.15945011377334595,0.0,-4.5,0.08746087551116943,-0.0076699042692780495,-0.1875,-0.023153522983193398,0.006135923322290182,0.3125,-0.23491477966308594,-0.004601942375302315,-4.9375,-0.08963002264499664,0.004601942375302315,-0.125,0.07565641403198242,-0.006135923322290182,-1.5125000476837158,-0.15660984814167023,0.006135923322290182,0.02500000037252903,0.11699000746011734,-0.0076699042692780495,-4.6875,-0.1028725877404213,0.0015339808305725455,-0.5,0.04478504881262779,0.003067961661145091,-0.5625,-0.20593692362308502,0.0015339808305725455,-6.0,0.09163138270378113,-0.004601942375302315,0.0625,0.08545950800180435,0.012271846644580364,-2.2125000953674316,0.15640611946582794,-0.012271846644580364,-0.16875000298023224
1789652953350376962,2857471395083,3239024,0,5,0.15945011377334595,-0.016873789951205254,-4.5,0.08746087551116943,-0.003067961661145091,-0.1875,-0.023153522983193398,0.015339808538556099,0.3125,-0.23491477966308594,0.0,-4.9375,-0.08963002264499664,0.006135923322290182,-0.0625,0.07566839456558228,0.0,-1.5125000476837158,-0.15660984814167023,0.006135923322290182,0.02500000037252903,0.11699000746011734,-0.010737866163253784,-4.6875,-0.1028725877404213,-0.0015339808305725455,-0.5,0.04478504881262779,0.010737866163253784,-0.5625,-0.20593692362308502,0.004601942375302315,-6.0,0.09160741418600082,-0.02147573232650757,0.0625,0.08543553948402405,-0.012271846644580364,-2.200000047683716,0.156418114900589,0.0,-0.16875000298023224
1789652953351394616,2857472412676,3239025,0,5,0.15945011377334595,-0.013805828057229519,-4.5,0.08746087551116943,-0.006135923322290182,-0.1875,-0.023141538724303246,0.016873789951205254,0.3125,-0.23490279912948608,-0.003067961661145091,-4.9375,-0.0896420031785965,0.004601942375302315,-0.125,0.07566839456558228,-0.006135923322290182,-1.5125000476837158,-0.15660984814167023,0.0,0.02500000037252903,0.11699000746011734,-0.003067961661145091,-4.625,-0.10286060720682144,-0.006135923322290182,-0.5,0.04478504881262779,0.015339808538556099,-0.5625,-0.20593692362308502,0.0,-6.0,0.09161940217018127,-0.015339808538556099,0.0625,0.0854475274682045,0.0,-2.2125000953674316,0.156418114900589,0.0,-0.16875000298023224
1789652953352265803,2857473283904,3239026,0,5,0.1594381332397461,-0.012271846644580364,-4.5,0.08746087551116943,0.0,-0.1875,-0.023153522983193398,0.004601942375302315,0.3125,-0.23491477966308594,-0.004601942375302315,-4.9375,-0.08963002264499664,-0.0015339808305725455,-0.0625,0.07565641403198242,-0.012271846644580364,-1.5,-0.15660984814167023,0.0,0.02500000037252903,0.1170019879937172,0.004601942375302315,-4.625,-0.10286060720682144,-0.01840776950120926,-0.4375,0.04478504881262779,0.0076699042692780495,-0.5625,-0.20593692362308502,0.0015339808305725455,-6.0,0.09161940217018127,-0.0076699042692780495,0.0625,0.0854235589504242,-0.02454369328916073,-2.2125000953674316,0.15643009543418884,0.01840776950120926,-0.16875000298023224
1789652953353288643,2857474306965,3239027,0,5,0.15945011377334595,-0.0015339808305725455,-4.5,0.08748484402894974,-0.003067961661145091,-0.1875,-0.0231774915009737,0.0,0.3125,-0.2349267601966858,-0.012271846644580364,-5.0,-0.08963002264499664,-0.004601942375302315,-0.0625,0.07565641403198242,-0.01840776950120926,-1.5125000476837158,-0.15660984814167023,0.0,0.02500000037252903,0.11699000746011734,0.006135923322290182,-4.625,-0.10281267017126083,0.0,-0.4375,0.04478504881262779,0.00920388475060463,-0.5625,-0.20593692362308502,0.010737866163253784,-6.0,0.09163138270378113,-0.00920388475060463,0.0625,0.0854475274682045,0.0,-2.2125000953674316,0.15640611946582794,-0.01840776950120926,-0.15625
1789652953354233142,2857475251428,3239028,0,5,0.15945011377334595,0.0,-4.5,0.08746087551116943,0.0,-0.1875,-0.023153522983193398,0.0076699042692780495,0.3125,-0.23490279912948608,0.006135923322290182,-5.0,-0.08961803466081619,0.0015339808305725455,-0.0625,0.07565641403198242,-0.012271846644580364,-1.5125000476837158,-0.15660984814167023,0.0,0.012500000186264515,0.11699000746011734,0.004601942375302315,-4.625,-0.10281267017126083,0.0076699042692780495,-0.4375,0.04478504881262779,0.012271846644580364,-0.5625,-0.20592494308948517,0.012271846644580364,-6.0,0.09163138270378113,-0.013805828057229519,0.0625,0.0854475274682045,0.0,-2.2125000953674316,0.156418114900589,0.0,-0.15625
